State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) "
900,01/13/2020,-0.617,-4.35,-11.9,-4.24,-2.15,6.71,1.9,-2.33,-2.47
2500,01/13/2020,0.906,-2.02,-15.2,-1.57,1.01,7.3,-1.51,0.847,0.607
3400,01/13/2020,0.888,-2.5,-10,2.44,0.539,6.55,2.4,1.63,2.72
3600,01/13/2020,0.389,-2.6,-14.3,-0.192,-0.329,9.13,-2.39,0.383,1.05
4400,01/13/2020,2.57,-3.09,-25.4,0.724,-0.0037,9.62,4.24,-3.06,-5.91
900,01/14/2020,2.89,-0.74,-3.99,-0.327,1.87,7.1,8.9,1.59,1.37
2500,01/14/2020,4.09,-0.931,-7.63,1.83,4.92,10.4,1.69,3.5,1.88
3400,01/14/2020,3.61,-1.03,-6.28,3.36,2.41,7.08,5.65,2.83,3.28
3600,01/14/2020,2.31,-0.0647,-8.71,2.4,2.02,13.5,-2.72,2.27,2.5
4400,01/14/2020,5.88,-0.979,-34.6,-1.78,4.29,6.27,4.54,2.91,1.59
900,01/15/2020,3.59,-2.41,-2.15,1.42,6.07,9.95,0.456,2.84,0.501
2500,01/15/2020,3.35,-2.22,-16,3.8,7.63,9.53,-1.26,5.18,2.47
3400,01/15/2020,3.31,-2.14,-6.12,2.51,3.35,4.76,5.16,2.4,1.56
3600,01/15/2020,2.23,-2.23,-3.65,1.91,4.25,8.46,-6.4,2.73,1.33
4400,01/15/2020,6.01,-1.38,-41,-0.293,6.04,2.91,0.371,6.04,6.04
900,01/16/2020,-1.37,-4.9,-7.77,-4.64,1.16,3.49,3.02,-2.12,-4.51
2500,01/16/2020,-0.663,-4.82,-14.3,-0.952,4.96,-1.18,-4.6,1.23,-2.78
3400,01/16/2020,-1.8,-4.98,-5.55,-4.88,-0.723,-7.21,-0.164,-2.66,-4.42
3600,01/16/2020,-1.89,-4.29,-6.18,-2.96,1.7,-0.454,-5.28,-0.771,-3.02
4400,01/16/2020,-2.06,-0.838,-33.4,-7,1.14,-0.439,-3.98,0.646,0.0674
900,01/17/2020,-0.451,-3.54,-3.39,-4.12,1.26,3.56,8.2,-0.78,-2.31
2500,01/17/2020,-1.4,-3.35,-10.2,-3.73,3.04,0.527,-0.517,-0.0853,-3.61
3400,01/17/2020,-2.29,-3.83,-3.45,-4.89,-1.37,-3.15,-0.193,-2.89,-4.3
3600,01/17/2020,-1.85,-2.81,-1.62,-4.75,-0.0274,-2.55,-2.73,-1.96,-3.74
4400,01/17/2020,-2.13,-2.66,-31.9,-1.53,4.54,-3.79,-7.69,3.83,2.99
900,01/18/2020,0.353,-4.44,-2.34,-4.97,3.37,6.29,11.4,0.246,-2.13
2500,01/18/2020,-0.39,-3.91,-7.55,-2.58,3.66,-1.21,-1.58,0.837,-2.52
3400,01/18/2020,-0.665,-3.14,0.811,-4.68,-0.166,-1.67,2.26,-2.32,-4.36
3600,01/18/2020,-1.22,-2.93,0.365,-5.19,-0.774,-3.06,0.866,-3.14,-5.34
4400,01/18/2020,-0.856,-5.19,-39.9,-1.11,5.41,-7.14,-8.6,5.81,5.98
900,01/19/2020,1.46,-0.853,3.81,-4.29,0.0441,6.23,7.19,-0.932,-1.65
2500,01/19/2020,0.83,-0.718,3.84,-0.699,-0.0904,1.46,3.62,-0.0876,-0.0583
3400,01/19/2020,1.6,1.16,9.21,-1.97,1.09,-0.461,3.89,-0.532,-2.01
3600,01/19/2020,1.33,1.12,5.66,-1.26,0.294,-1.16,3.26,-0.701,-1.58
4400,01/19/2020,-0.203,-1.39,-28.7,-1.45,2.14,-10.5,-2.97,4.88,7.37
900,01/20/2020,6.23,6.94,2.65,5.42,10.8,-1.79,3.8,9.22,8.05
2500,01/20/2020,5.38,3.9,7.37,7.28,10.1,-1.46,10.7,8.2,5.96
3400,01/20/2020,2.83,3.21,9.5,0.675,5.76,1.84,2.84,3,0.508
3600,01/20/2020,4.51,4.49,7.11,4.19,8.02,-0.329,5.07,5.74,3.62
4400,01/20/2020,2.79,0.0147,-34.1,5.43,9.49,-10.9,-17.1,11.3,12.8
900,01/21/2020,8.64,9.03,7.38,3.92,12.4,8.88,3.16,7.38,3.73
2500,01/21/2020,3.22,0.86,0.189,-0.105,4.41,3.77,2.95,2.54,0.283
3400,01/21/2020,2.28,0.18,7.61,-3.19,2.83,0.332,0.0916,-0.339,-3.24
3600,01/21/2020,3.85,1.23,4.02,-0.76,4.85,-2.95,9.08,2.03,-0.58
4400,01/21/2020,1.96,-4.54,-32.7,2.12,4.23,-11.3,-0.585,5.07,5.47
900,01/22/2020,3.82,4.26,7.72,-0.329,1.02,1.58,11.4,2.41,3.49
2500,01/22/2020,2.67,3.51,15.8,-1.53,-0.957,4.7,5.52,0.36,1.67
3400,01/22/2020,1.95,2.31,13.8,-1.32,0.601,-1.52,1.48,-0.102,-0.799
3600,01/22/2020,3.03,4.38,1.43,1.2,1.01,-1.77,19.9,1.11,1.16
4400,01/22/2020,-2.99,0.723,-26.7,0.819,0.04,-11.8,6.7,2.01,3.32
900,01/23/2020,7.84,8.83,16.3,4.78,5.44,11.6,15,5.64,5.73
2500,01/23/2020,6.69,8.36,8.58,4.98,-0.946,8.41,11.4,2.58,6.46
3400,01/23/2020,6.72,6.47,17.5,5.36,4.27,3.84,5.57,4.43,4.48
3600,01/23/2020,6.81,6.43,7.9,5.9,2.31,5.02,23.8,3.73,4.98
4400,01/23/2020,2.73,9.4,43.7,2.8,3.93,-12.2,-5.57,5.99,7.38
900,01/24/2020,6.61,10,7.07,5.34,7.58,7.88,8.92,6.09,4.88
2500,01/24/2020,6.62,7.49,9.52,9.28,0.906,5.91,5.17,3.58,6.32
3400,01/24/2020,7.19,5.83,14.8,6.24,7.48,1.05,3.26,6.09,4.77
3600,01/24/2020,6.13,5.42,7.19,8.49,4.59,1.99,16.1,5.1,5.47
4400,01/24/2020,1.31,12.8,69.3,6.98,2.61,-12.6,-12,5.36,7.51
900,01/25/2020,2.71,9.74,2.41,3.45,-0.237,1.95,5.07,0.501,1.03
2500,01/25/2020,3.28,5.95,4.37,5.17,-1.01,-0.775,4.37,0.624,2.25
3400,01/25/2020,3.7,4.67,13.1,3.23,2.54,-0.932,-0.0657,2.6,2.66
3600,01/25/2020,3.86,5.99,6.95,5.64,2.88,-0.326,13.5,3.65,4.28
4400,01/25/2020,-0.506,13.1,66.5,1.74,-2.21,-13,-0.218,2.3,6.17
900,01/26/2020,0.108,4.85,-4.24,1.25,1.41,0.715,6.45,0.74,0.248
2500,01/26/2020,1.04,2.29,-4.13,0.938,3.59,-5.24,-0.746,1.24,-1.21
3400,01/26/2020,0.209,-0.16,5,-0.232,2.58,-1.74,-0.895,0.622,-1.06
3600,01/26/2020,0.0589,0.068,0.983,-0.549,1.21,-3.42,12.7,0.0488,-0.98
4400,01/26/2020,-2.56,8.29,51.9,-0.0123,2.29,-13.5,-6.72,-0.575,-2.8
900,01/27/2020,-5.09,-2.14,-10.4,-6.42,-8.92,-5.06,0.0678,-7.06,-5.71
2500,01/27/2020,-5.97,-3.62,-7.96,-8.79,-11.7,-5.58,-2.93,-11.1,-10.5
3400,01/27/2020,-3.9,-3.57,2.03,-6.31,-5.73,-3.26,-1.14,-5.7,-5.72
3600,01/27/2020,-4.48,-4.09,-2.07,-6.35,-9.1,-3.63,7.86,-8.04,-7.18
4400,01/27/2020,-5.44,5.81,69.1,-7.53,-10.6,-9.74,-13.4,-9.55,-8.71
900,01/28/2020,-8.6,-6.44,-10.1,-8.06,-12.8,-5.72,-0.76,-8.82,-5.8
2500,01/28/2020,-7.21,-2.62,-8.54,-4.9,-11.8,-11.2,-3.19,-9.68,-7.53
3400,01/28/2020,-6.21,-3.72,-2.23,-7.62,-7.88,-8.35,1.36,-7.56,-7.34
3600,01/28/2020,-5.72,-4.46,-0.887,-5.78,-11.1,-7.36,8.27,-8.87,-6.87
4400,01/28/2020,-6.18,3.32,37.6,-2.92,-8.23,-6.01,-6.29,-7.85,-7.86
900,01/29/2020,-6.82,-1.36,-9.19,-4.84,-11.2,-2.18,0.271,-7.48,-4.6
2500,01/29/2020,-6.25,-2,-6.15,-3.75,-9.72,-16.8,0.889,-8.71,-7.67
3400,01/29/2020,-5.85,-1.6,-2.39,-6.22,-7.68,-8.67,1.51,-6.68,-5.79
3600,01/29/2020,-6.3,-2.78,-2.51,-4.54,-10.2,-11,-3.44,-7.58,-5.15
4400,01/29/2020,-5.07,3.34,62.5,-0.39,-5.43,-2.28,0.876,-8.82,-12
900,01/30/2020,-4.81,0.749,-9.62,-0.919,-9.84,-0.532,-5.62,-4.98,-1.14
2500,01/30/2020,-4.75,-0.687,5.58,-1.65,-6.73,-14.3,-1.94,-5.81,-4.8
3400,01/30/2020,-4.36,0.888,-2.86,-3.79,-6.36,-5.53,-2.35,-5.17,-4.07
3600,01/30/2020,-4.04,-0.295,-0.728,-1.47,-7.15,-7.38,-9.48,-4.04,-1.12
4400,01/30/2020,-5.54,-3.02,-1.83,7.65,-3.83,1.45,18.6,-7.08,-10.3
900,01/31/2020,-3.94,-0.143,0.109,1.28,-8.71,-2.52,-3.32,-3.32,0.993
2500,01/31/2020,-3.35,0.368,9.1,-0.424,-4.87,-13.2,-0.177,-4.43,-3.86
3400,01/31/2020,-3.3,2.22,-2.4,-1.81,-4.8,-6.38,-2.49,-3.72,-2.73
3600,01/31/2020,-2.22,0.398,0.885,-0.0032,-4.29,-2.3,-5.03,-1.81,0.547
4400,01/31/2020,-4.61,-3.58,-10,0.467,-3.85,5.17,33.5,-3.01,-2.48
900,02/01/2020,-0.771,2.73,5.81,6.22,1.44,-2.06,-7.04,3.7,5.5
2500,02/01/2020,-1.52,1.84,11.4,2.05,-2.39,-4.76,-3.01,-0.863,0.921
3400,02/01/2020,-1.31,3.97,-3.66,3.65,0.151,-6.81,-3.56,1.26,2.31
